song_name,song_artist,id,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Darkside,blink-182,39n1y2JqVOPIdfUeLqzgfl,0.497,0.923,-3.04,0.11,0.00627,0.0,0.082,0.545,155.11,180960
Heaven,blink-182,5RBM0pP9EE2azF3okstJIt,0.513,0.892,-4.067,0.0836,0.082,0.0,0.117,0.469,150.065,197373
The First Time,blink-182,4VwvwlbNZavsDkRdIKFGBi,0.513,0.953,-5.053,0.0851,0.00797,0.0,0.364,0.695,171.998,146933
Shut Up,blink-182,3S8z8Aa9LJVfbD5wLsC1CW,0.53,0.918,-3.065,0.036,0.000499,0.0,0.113,0.658,114.061,200200
Anthem Part Two,blink-182,24CRDgNOgA72JLL7PHFjgB,0.552,0.932,-3.782,0.0426,0.000102,0.0,0.119,0.518,103.108,227200
Online Songs,blink-182,2DcxTfOm8y2UgeP81qdidR,0.552,0.982,-3.227,0.0484,0.00456,0.0,0.337,0.664,98.458,145733
First Date,blink-182,1fJFuvU2ldmeAm5nFIHcPP,0.579,0.928,-4.344,0.0411,0.000715,0.0,0.18,0.882,95.594,171533
"Happy Holidays, You Bastard",blink-182,5lE1g5Qsi1stIjYh8O5FC1,0.408,0.988,-2.028,0.0961,0.0168,0.0,0.506,0.963,172.529,42400
Story Of A Lonely Guy,blink-182,6c9UjtsLpfK5hTwTrdRDbR,0.558,0.889,-4.388,0.0345,0.00107,0.000998,0.538,0.566,152.097,219667
The Rock Show,blink-182,2ydUT1pFhuLDnouelIv4WH,0.41,0.959,-4.563,0.0869,0.000324,0.0,0.0766,0.83,193.155,171600
Stay Together For The Kids,blink-182,3YD9EehnGOf88rGSZFrnHg,0.519,0.78,-4.939,0.0356,0.00165,2.14e-05,0.156,0.166,145.125,239333
Please Take Me Home,blink-182,7l7BbmQD7cWPSL9fvaUheU,0.564,0.955,-4.289,0.0384,0.000733,7.26e-06,0.388,0.764,100.704,186040
Reckless Abandon,blink-182,4N9fFHRxns1B86F8YTneBz,0.5,0.961,-3.92,0.0961,0.00137,0.0,0.296,0.515,124.898,186173
Every Time I Look For You,blink-182,0V7Wn8Fry7KBO5stYqpFvM,0.502,0.96,-2.998,0.0484,0.00166,0.0,0.377,0.625,128.228,185467
Give Me One Good Reason,blink-182,6gScUFLkoyvwyDP5tOwn0a,0.497,0.938,-3.39,0.102,0.000313,1.51e-06,0.39,0.699,157.249,198693
Roller Coaster,blink-182,1BR1AEQSLXDNL9t7nP3xRp,0.579,0.948,-3.801,0.048,0.00185,3.3e-06,0.143,0.684,116.148,167560
The Middle,Jimmy Eat World,6GG73Jik4jUlQCkKg9JuGO,0.643,0.849,-5.428,0.0526,0.0371,0.0,0.058,0.903,162.152,165853
I Write Sins Not Tragedies,Panic! At The Disco,4bPQs0PHn4xbipzdPfn6du,0.569,0.83,-4.106,0.14,0.0807,0.0,0.114,0.609,170.094,186635
Misery Business,Paramore,3l9CW99AHtExIRV4hW2N5m,0.517,0.906,-3.677,0.0735,0.00272,9.26e-06,0.113,0.731,172.977,211520
Sweetness,Jimmy Eat World,429IbFR4yp2J81CeTwF5iY,0.487,0.898,-4.436,0.038,0.00305,0.0,0.26,0.597,135.331,220027
The Anthem,Good Charlotte,0BRHnOFm6sjxN1i9LJrUDu,0.494,0.939,-3.127,0.126,0.00666,0.0,0.139,0.893,177.751,175093
Ain't No Rest For The Wicked - Original Version,Cage The Elephant,7tCHpjktA50ihtkLz6bAnn,0.635,0.914,-5.631,0.111,0.0597,0.0,0.601,0.922,156.014,175493
A-Punk,Vampire Weekend,2DrGEaqoruCSn0FffWCf5O,0.551,0.819,-4.489,0.0525,0.0103,0.0437,0.153,0.846,174.917,137760
Centuries,Fall Out Boy,04aAxqtGp5pv12UXAg4pkq,0.393,0.858,-2.868,0.0729,0.00359,0.0,0.102,0.56,176.042,228360
State of My Head,Shinedown,1fnULsZuORnAgCFFbM8nTZ,0.486,0.94,-4.237,0.0605,0.00919,0.0,0.0777,0.42,79.727,205653
